h2. Publications with keyword "0sotl"

| [@barr1995from] | Barr, R. B., & Tagg, J. (1995). From Teaching to Learning.|
| [@bass1999scholarship] | Bass, R. (1999). The scholarship of teaching: What’s the problem. Inventio: Creative thinking about learning and teaching, 1(1), 1–9. |
| [@hutchings2000introduction] | Hutchings, P. (2000). Introduction: Approaching the scholarship of teaching and learning.|
| [@shulman2002foreword] | Shulman, L. S. (2002). Foreword. Disciplinary Styles in the Scholarship of Teaching and Learning. Eds. Mary Taylor Huber and Sherwyn P. Morreale. Washington: American Assn. of Higher Educ.|
| [@rudd2005what] | Rudd, R. (2005). What is the scholarship of teaching and learning. NACTA Journal, 49(4), 2–4. |
| [@cerbin2006lesson] | Cerbin, W., & Kopp, B. (2006). Lesson study as a model for building pedagogical knowledge and improving teaching. International journal of teaching and learning in higher education, 18(3), 250–257. |
| [@huber2008situating] | Huber, M. T., & Morreale, S. P. (2008). Situating the scholarship of teaching and learning: A cross-disciplinary conversation.|
| [@hatch2009scholarship] | Hatch, T. (2009). The scholarship of teaching and web‐based representations of teaching in the United States: definitions, histories, and new directions. Educational Action Research, 17(1), 63-78. doi:10.1080/09650790802667451|
| [@mckeachie2011teaching] | McKeachie, W. J., & Svinicki, M. D. (2011). McKeachie’s teaching tips: Strategies, research, and theory for college and university teachers. Wadsworth Publishing Company. |
| [@laurillard2012teaching] | Laurillard, D. (2012). Teaching as a Design Science: Building Pedagogical Patterns for Learning and Technology.. ERIC.|
| [@ebert-may1997innovation] | Ebert-May, D., Brewer, C., & Allred, S. (1997). Innovation in Large Lectures: Teaching for Active Learning. BioScience, 47(9), 601-607. doi:10.2307/1313166|
| [@kember2000action] | Kember, D. (2000). Action Learning, Action Research. Routledge. doi:doi:10.4324/9780203016343|
| [@hutchings2002scholarship] | Hutchings, P. (2002). The Scholarship of Teaching and Learning in Higher Education an Annotated Bibliography. Change, 31(5), 11–15.|
| [@david2007enhancing] | David, K., & Carmel, Mn. (2007). Enhancing University Teaching. Routledge. doi:doi:10.4324/9780203962947|
| [@wesch2007in-depth] | Wesch, M. (2007). An In-Depth Look at the Cyber-Phenomenon of Our Time: Web 2.0 (Interview With Virginia Buege). The Lawlor Review, 15(2), 10–16.|
| [@wesch2008anti-teaching] | Wesch, M. (2008). Anti-Teaching: Confronting the Crisis of Significance. Education Canada, 48(2), 4.|
| [@fry2008handbook] | Fry, H., Ketteridge, S., & Marshall, S. (2008). A handbook for teaching and learning in higher education: enhancing academic practice. Routledge.|
| [@wesch2009from] | Wesch, M. (2009). From knowledgable to knowledge-able: learning in new media environments. Academic Commons, 7.|
| [@kirby2012enhancing] | Kirby, J. R., & Lawson, M. J. (2012). Enhancing the Quality of Learning. Cambridge University Press. |
| [@reid2012redesigning] | Reid, L. F. (2012). Redesigning a Large Lecture Course for Student Engagement: Process and Outcomes. The Canadian Journal for the Scholarship of Teaching and Learning, 1-39. doi:10.5206/cjsotl-rcacea.2012.2.5|
| [@lougheed2012using] | Lougheed, J., Kirkland, J., & Newton, G. (2012). Using Breakout Groups as an Active Learning Technique in a Large Undergraduate Nutrition Classroom at the University of Guelph. The Canadian Journal for the Scholarship of Teaching and Learning, 1-18. doi:10.5206/cjsotl-rcacea.2012.2.6|
| [@lack2013current] | Lack, K. A. (2013). Current Status of Research on Online Learning in Postsecondary Education.|
